,0,1,2,3
0,18,14,13,15
1,19,12,18,11
2,15,9,17,19
3,19,13,15,13
4,14,8,22,16
5,18,11,16,15
6,15,10,20,15
7,17,12,15,16
8,19,13,18,10
9,19,12,16,13
10,21,10,12,17
11,20,14,14,12
12,23,9,14,14
13,21,12,12,15
14,20,14,15,11
15,15,16,12,17
16,17,17,14,12
17,24,7,15,14
18,13,18,17,12
19,15,17,15,13
20,19,12,12,17
21,19,11,13,17
22,22,10,10,18
23,21,10,14,15
24,27,9,11,13
25,14,19,13,14
26,20,15,14,11
27,14,19,12,15
28,22,8,10,20
29,18,15,9,18
30,21,16,12,11
31,18,10,11,21
32,15,17,14,14
33,17,13,11,19
34,20,14,17,9
35,21,11,10,18
36,17,11,18,14
37,20,14,11,15
38,23,13,12,12
39,21,10,13,16
40,14,16,9,21
41,16,15,15,14
42,19,16,12,13
43,16,10,12,22
44,18,12,13,17
45,17,20,10,13
46,17,20,9,14
47,21,12,16,11
48,22,12,15,11
49,23,10,12,15
50,17,16,16,11
51,17,10,13,20
52,18,11,15,16
53,17,16,14,13
54,17,14,12,17
55,24,10,9,17
56,11,17,14,18
57,13,14,13,20
58,25,8,13,14
59,21,14,12,13
60,19,19,12,10
61,16,14,14,16
62,21,11,10,18
63,18,22,9,11
64,18,20,9,13
65,25,6,8,21
66,14,20,14,12
67,21,11,11,17
68,17,14,8,21
69,18,18,8,16
70,17,12,20,11
71,24,13,13,10
72,23,16,8,13
73,23,16,14,7
74,16,15,15,14
75,15,15,12,18
76,19,14,13,14
77,14,13,17,16
78,20,20,9,11
79,19,16,8,17
80,21,19,12,8
81,23,11,12,14
82,16,13,14,17
83,13,19,9,19
84,10,17,19,14
85,21,12,9,18
86,19,17,10,14
87,19,13,13,15
88,25,8,11,16
89,19,12,9,20
90,19,14,12,15
91,18,16,14,12
92,14,17,14,15
93,15,23,10,12
94,17,16,11,16
95,17,18,13,12
96,19,10,14,17
97,21,20,6,13
98,17,16,9,18
99,19,16,13,12
100,10,22,15,13
101,11,14,16,19
102,11,7,20,22
103,20,15,12,13
104,18,11,14,17
105,14,21,15,10
106,20,16,8,16
107,23,11,18,8
